사용일자,노선명,역명,승차총승객수,하차총승객수,등록일자
20240701,9호선2~3단계,석촌고분,7665,7414,20240704
20240701,중앙선,도농,12178,10957,20240704
20240701,중앙선,구리,14053,14085,20240704
20240701,4호선,길음,22687,22215,20240704
20240701,분당선,복정,1,0,20240704
20240701,중앙선,오빈,341,346,20240704
20240701,중앙선,양평,3373,3272,20240704
20240701,중앙선,원덕,395,343,20240704
20240701,중앙선,용문,2079,2014,20240704
20240701,중앙선,지평,83,92,20240704
20240701,중앙선,양원,3609,3434,20240704
20240701,중앙선,망우,8145,7826,20240704
20240701,중앙선,상봉,6388,6324,20240704
20240701,중앙선,중랑,5804,5629,20240704
20240701,중앙선,회기,26435,25277,20240704
20240701,장항선,신창(순천향대),1298,1444,20240704
20240701,장항선,온양온천,4436,4400,20240704
20240701,장항선,배방,1283,1245,20240704
20240701,장항선,탕정,1799,1636,20240704
20240701,중앙선,양정,684,534,20240704
20240701,중앙선,덕소,5723,5704,20240704
20240701,중앙선,도심,2673,2107,20240704
20240701,중앙선,팔당,858,874,20240704
20240701,중앙선,운길산,711,719,20240704
20240701,중앙선,양수,2098,2121,20240704
20240701,중앙선,신원,180,168,20240704
20240701,중앙선,국수,779,775,20240704
20240701,중앙선,아신,559,550,20240704
20240701,장항선,아산,3724,3451,20240704
20240701,장항선,쌍용(나사렛대),2408,2391,20240704
20240701,장항선,봉명,1647,1631,20240704
20240701,일산선,대화,15161,11585,20240704
20240701,일산선,주엽,10577,10751,20240704
20240701,일산선,정발산,7465,7571,20240704
20240701,일산선,마두,8834,9065,20240704
20240701,일산선,백석,10586,10627,20240704
20240701,일산선,대곡,3314,2429,20240704
20240701,일산선,화정,18060,18600,20240704
20240701,일산선,원당,11883,11284,20240704
20240701,일산선,삼송,20233,19728,20240704
20240701,일산선,지축,1,0,20240704
20240701,일산선,원흥,12308,11761,20240704
20240701,우이신설선,신설동,2711,2431,20240704
20240701,우이신설선,보문,1755,1695,20240704
20240701,우이신설선,성신여대입구(돈암),3949,4255,20240704
20240701,우이신설선,정릉,5087,5062,20240704
20240701,우이신설선,북한산보국문,6534,6689,20240704
20240701,우이신설선,솔샘,6167,6581,20240704
20240701,우이신설선,삼양사거리,2961,3014,20240704
20240701,우이신설선,삼양,2351,2604,20240704
20240701,우이신설선,화계,4007,3943,20240704
20240701,우이신설선,가오리,4740,4981,20240704
20240701,우이신설선,4.19민주묘지,3412,3357,20240704
20240701,우이신설선,솔밭공원,2959,2970,20240704
20240701,우이신설선,북한산우이,3383,3105,20240704
20240701,안산선,수리산,4419,3720,20240704
20240701,안산선,오이도,8111,8173,20240704
